  QueueTimes | ServiceTimes | SojournTimes

       0.153 |        0.121 |        0.274
       0.187 |        0.123 |        0.310
       0.238 |        0.126 |        0.365
       0.073 |        0.131 |        0.204
       0.076 |        0.132 |        0.208
       0.054 |        0.128 |        0.182
       0.054 |        0.120 |        0.174
       0.071 |        0.135 |        0.206
       0.226 |        0.123 |        0.349
       0.383 |        0.121 |        0.504
       0.281 |        0.121 |        0.402
       0.135 |        0.130 |        0.264
       0.073 |        0.133 |        0.206
       0.054 |        0.123 |        0.177
       0.071 |        0.134 |        0.205
       0.072 |        0.160 |        0.232
       0.090 |        0.124 |        0.214
       0.055 |        0.123 |        0.179
       0.054 |        0.123 |        0.177
       0.071 |        0.140 |        0.211
       0.174 |        0.122 |        0.296
       0.054 |        0.123 |        0.177
       0.071 |        0.131 |        0.202
       0.125 |        0.129 |        0.254
       0.054 |        0.124 |        0.178
       0.053 |        0.122 |        0.175
       0.054 |        0.121 |        0.175
       0.008 |        0.120 |        0.128
       0.072 |        0.131 |        0.203
       0.072 |        0.132 |        0.204
       0.055 |        0.128 |        0.182
       0.054 |        0.123 |        0.177
       0.053 |        0.122 |        0.176
       0.071 |        0.131 |        0.202
       0.055 |        0.123 |        0.178
       0.075 |        0.132 |        0.207
       0.136 |        0.122 |        0.258
       0.072 |        0.133 |        0.204
       0.093 |        0.123 |        0.216
       0.055 |        0.123 |        0.177
       0.071 |        0.131 |        0.202
       0.058 |        0.133 |        0.191
       0.156 |        0.123 |        0.279
       0.054 |        0.123 |        0.177
       0.053 |        0.127 |        0.180
       0.071 |        0.133 |        0.205
       0.069 |        0.122 |        0.191
       0.054 |        0.129 |        0.183
       0.055 |        0.125 |        0.179
       0.055 |        0.121 |        0.175
       0.071 |        0.133 |        0.205
       0.072 |        0.132 |        0.204
       0.055 |        0.122 |        0.177
       0.054 |        0.122 |        0.176
       0.169 |        0.121 |        0.291
       0.072 |        0.131 |        0.203
       0.046 |        0.123 |        0.170
       0.055 |        0.130 |        0.184
       0.054 |        0.123 |        0.177
       0.054 |        0.121 |        0.174
       0.053 |        0.119 |        0.173
       0.054 |        0.121 |        0.174
       0.053 |        0.122 |        0.176
       0.053 |        0.122 |        0.175
       0.053 |        0.120 |        0.173
       0.054 |        0.125 |        0.179
       0.135 |        0.119 |        0.254
       0.076 |        0.137 |        0.214
       0.055 |        0.122 |        0.177
       0.054 |        0.121 |        0.175
       0.067 |        0.120 |        0.188
       0.190 |        0.120 |        0.310
       0.056 |        0.121 |        0.177
       0.054 |        0.122 |        0.176
       0.072 |        0.134 |        0.206
       0.054 |        0.124 |        0.178
       0.054 |        0.120 |        0.174
       0.168 |        0.121 |        0.289
       0.054 |        0.122 |        0.175
       0.054 |        0.122 |        0.175
       0.053 |        0.122 |        0.175
       0.054 |        0.120 |        0.174
       0.074 |        1.227 |        1.302
       1.305 |        0.139 |        1.444
       0.343 |        0.130 |        0.473
       0.075 |        0.145 |        0.220
       0.082 |        0.129 |        0.211
       0.194 |        0.129 |        0.323
       0.072 |        0.138 |        0.210
       0.055 |        0.133 |        0.188
       0.071 |        0.140 |        0.211
       0.072 |        0.138 |        0.210
       0.095 |        0.125 |        0.220
       0.055 |        0.134 |        0.188
       0.135 |        0.124 |        0.259
       0.054 |        0.130 |        0.183
