  QueueTimes | ServiceTimes | SojournTimes

   74902.290 |       11.410 |    74913.700
   74913.698 |       11.418 |    74925.116
   74910.346 |       11.412 |    74921.758
   74920.933 |       11.363 |    74932.296
   74931.945 |       11.406 |    74943.351
   74939.728 |       11.420 |    74951.148
   74949.333 |       11.440 |    74960.773
   74959.939 |        1.857 |    74961.796
   74961.657 |        9.497 |    74971.154
   74968.157 |       11.431 |    74979.588
   74976.018 |       11.400 |    74987.418
   74986.857 |       11.415 |    74998.272
   74996.397 |        1.909 |    74998.307
   74997.287 |        9.460 |    75006.747
   75005.306 |        5.680 |    75010.985
   75010.901 |        5.677 |    75016.578
   75015.201 |        5.715 |    75020.916
   75018.190 |        5.686 |    75023.875
   75023.689 |        5.685 |    75029.374
   75027.643 |        5.706 |    75033.349
   75030.205 |        5.689 |    75035.894
   75034.449 |        5.700 |    75040.149
   75038.896 |        1.893 |    75040.790
   75039.951 |        0.200 |    75040.151
   75037.099 |        9.254 |    75046.353
   75044.227 |        0.183 |    75044.410
   75039.062 |        5.465 |    75044.528
   75043.937 |        5.665 |    75049.603
   75048.687 |        5.744 |    75054.431
   75054.229 |        5.696 |    75059.925
   75051.914 |        5.694 |    75057.608
   75056.854 |        5.697 |    75062.550
   75059.033 |        0.195 |    75059.229
   75057.773 |        5.468 |    75063.241
   75058.037 |        5.703 |    75063.740
   75062.195 |        5.671 |    75067.866
   75066.288 |        1.753 |    75068.040
   75068.002 |        9.635 |    75077.637
   75076.935 |        5.703 |    75082.638
   75079.968 |        5.647 |    75085.615
   75081.320 |        0.125 |    75081.445
   75077.466 |        1.786 |    75079.251
   75077.049 |        9.487 |    75086.537
   75080.799 |        5.656 |    75086.455
   75084.758 |        5.726 |    75090.485
   75086.496 |        5.669 |    75092.165
   75090.287 |        5.720 |    75096.006
   75095.378 |        5.669 |    75101.047
   75100.535 |        5.716 |    75106.251
   75106.038 |        5.699 |    75111.737
   75110.245 |        5.668 |    75115.913
   75115.474 |        5.703 |    75121.177
   75113.445 |        5.706 |    75119.151
   75117.403 |        5.696 |    75123.099
   75121.152 |        1.675 |    75122.827
   75118.482 |        3.979 |    75122.461
   75122.254 |        5.686 |    75127.940
   75127.458 |        5.687 |    75133.145
   75132.655 |        5.701 |    75138.356
   75134.172 |        5.702 |    75139.874
   75138.027 |        5.692 |    75143.719
   75139.875 |        5.700 |    75145.575
   75139.621 |        5.679 |    75145.300
   75142.888 |        5.695 |    75148.583
   75145.988 |        5.693 |    75151.681
   75151.655 |        5.682 |    75157.337
   75157.347 |        5.688 |    75163.035
   75162.102 |        5.692 |    75167.794
   75166.732 |        5.699 |    75172.431
   75168.663 |        5.684 |    75174.347
   75169.522 |        5.705 |    75175.226
   75163.961 |        0.154 |    75164.115
   75163.897 |        5.635 |    75169.532
   75168.967 |        5.709 |    75174.676
   75172.838 |       11.397 |    75184.236
   75183.004 |       11.396 |    75194.400
   75188.664 |       11.421 |    75200.085
   75198.404 |       11.412 |    75209.816
   75204.104 |       11.411 |    75215.515
   75209.373 |       11.376 |    75220.749
   75220.751 |       11.496 |    75232.248
   75232.093 |       11.293 |    75243.386
   75240.365 |       11.451 |    75251.816
   75247.986 |       11.389 |    75259.374
   75259.309 |       11.382 |    75270.691
