  QueueTimes | ServiceTimes | SojournTimes

       0.055 |        0.042 |        0.097
       0.055 |        0.038 |        0.092
       0.054 |        0.031 |        0.084
       0.053 |        0.039 |        0.092
       0.070 |        0.049 |        0.120
       0.055 |        0.035 |        0.090
       0.070 |        0.043 |        0.114
       0.076 |        0.041 |        0.117
       0.056 |        0.034 |        0.090
       0.044 |        0.034 |        0.077
       0.072 |        0.041 |        0.114
       0.136 |        0.036 |        0.172
       0.055 |        0.044 |        0.099
       0.053 |        0.033 |        0.087
       0.054 |        0.032 |        0.086
       0.071 |        0.034 |        0.105
       0.004 |        0.028 |        0.032
       0.011 |        0.045 |        0.055
       0.055 |        0.035 |        0.090
       0.007 |        0.034 |        0.041
       0.054 |        0.037 |        0.091
       0.071 |        0.040 |        0.111
       0.054 |        0.059 |        0.114
       0.070 |        0.048 |        0.118
       0.055 |        0.033 |        0.088
       0.054 |        0.028 |        0.082
       0.054 |        0.030 |        0.083
       0.054 |        0.037 |        0.091
       0.054 |        0.050 |        0.104
       0.081 |        0.027 |        0.108
       0.054 |        0.138 |        0.192
       0.053 |        0.038 |        0.091
       0.070 |        0.029 |        0.099
       0.063 |        0.125 |        0.189
       0.054 |        0.029 |        0.082
       0.053 |        0.027 |        0.081
       0.054 |        0.034 |        0.088
       0.072 |        0.051 |        0.123
       0.061 |        0.032 |        0.092
       0.053 |        0.028 |        0.081
       0.054 |        0.031 |        0.086
       0.109 |        0.037 |        0.147
       0.071 |        0.036 |        0.107
       0.070 |        0.053 |        0.123
       0.071 |        0.041 |        0.112
       0.109 |        0.050 |        0.159
       0.056 |        0.045 |        0.101
       0.054 |        0.045 |        0.099
       0.053 |        0.055 |        0.109
       0.054 |        0.029 |        0.083
       0.063 |        0.031 |        0.094
       0.075 |        0.029 |        0.104
       0.054 |        0.031 |        0.085
       0.054 |        0.027 |        0.081
       0.053 |        0.033 |        0.086
       0.053 |        0.130 |        0.183
       0.072 |        0.055 |        0.126
       0.029 |        0.037 |        0.066
       0.055 |        0.046 |        0.101
       0.054 |        0.046 |        0.100
       0.054 |        0.030 |        0.084
       0.054 |        0.043 |        0.098
       0.054 |        0.042 |        0.096
       0.077 |        0.045 |        0.123
       0.054 |        0.044 |        0.098
       0.053 |        0.033 |        0.086
       0.070 |        0.045 |        0.115
       0.054 |        0.125 |        0.180
       0.103 |        0.037 |        0.140
       0.054 |        0.041 |        0.095
       0.071 |        0.034 |        0.105
       0.054 |        0.047 |        0.101
       0.054 |        0.029 |        0.083
       0.070 |        0.034 |        0.104
       0.116 |        0.056 |        0.172
       0.055 |        0.038 |        0.094
       0.072 |        0.040 |        0.112
       0.055 |        0.129 |        0.184
       0.071 |        0.058 |        0.128
       0.055 |        0.033 |        0.088
       0.054 |        0.041 |        0.095
       0.071 |        0.037 |        0.108
       0.095 |        0.028 |        0.124
       0.055 |        0.053 |        0.108
       0.054 |        0.031 |        0.085
       0.054 |        0.030 |        0.083
       0.070 |        0.047 |        0.117
       0.120 |        0.046 |        0.166
       0.052 |        0.042 |        0.094
       0.050 |        0.033 |        0.083
       0.056 |        0.144 |        0.200
       0.182 |        0.027 |        0.209
       0.073 |        0.111 |        0.184
       0.054 |        0.053 |        0.108
       0.078 |        0.126 |        0.204
       0.071 |        0.046 |        0.117
       0.115 |        0.033 |        0.148
       0.055 |        0.034 |        0.089
       0.054 |        0.048 |        0.101
       0.102 |        0.042 |        0.144
       0.054 |        0.044 |        0.098
       0.070 |        0.052 |        0.123
       0.055 |        0.034 |        0.089
       0.054 |        0.032 |        0.086
       0.054 |        0.034 |        0.087
       0.053 |        0.041 |        0.094
       0.053 |        0.035 |        0.088
       0.008 |        0.029 |        0.037
       0.054 |        0.055 |        0.108
       0.056 |        0.048 |        0.105
       0.054 |        0.034 |        0.088
       0.053 |        0.033 |        0.086
       0.054 |        0.041 |        0.095
       0.054 |        0.039 |        0.093
       0.053 |        0.101 |        0.154
       0.053 |        0.040 |        0.093
       0.071 |        0.055 |        0.125
       0.071 |        0.035 |        0.106
       0.054 |        0.043 |        0.097
       0.054 |        0.032 |        0.086
       0.054 |        0.028 |        0.082
       0.071 |        0.054 |        0.125
       0.071 |        0.032 |        0.103
       0.054 |        0.056 |        0.110
       0.038 |        0.048 |        0.087
       0.094 |        0.033 |        0.127
       0.055 |        0.049 |        0.104
       0.071 |        0.036 |        0.108
       0.128 |        0.057 |        0.185
       0.055 |        0.127 |        0.182
       0.067 |        0.031 |        0.098
       0.055 |        0.034 |        0.089
       0.049 |        0.029 |        0.077
       0.022 |        0.029 |        0.051
       0.054 |        0.039 |        0.093
       0.054 |        0.047 |        0.101
       0.020 |        0.051 |        0.070
       0.054 |        0.031 |        0.085
       0.054 |        0.027 |        0.081
       0.053 |        0.027 |        0.080
       0.074 |        0.033 |        0.107
       0.053 |        0.027 |        0.080
       0.054 |        0.050 |        0.104
       0.070 |        0.052 |        0.121
       0.008 |        0.030 |        0.038
       0.055 |        0.039 |        0.094
       0.054 |        0.028 |        0.082
       0.053 |        0.028 |        0.082
       0.053 |        0.031 |        0.084
       0.054 |        0.030 |        0.084
       0.053 |        0.125 |        0.178
       0.054 |        0.044 |        0.098
       0.071 |        0.033 |        0.104
       0.054 |        0.031 |        0.085
       0.054 |        0.044 |        0.097
       0.071 |        0.044 |        0.115
       0.079 |        0.121 |        0.199
       0.037 |        0.028 |        0.065
       0.039 |        0.027 |        0.066
       0.083 |        0.046 |        0.129
       0.056 |        0.034 |        0.090
       0.046 |        0.041 |        0.087
       0.054 |        0.046 |        0.100
       0.053 |        0.035 |        0.088
       0.071 |        0.053 |        0.124
       0.041 |        0.041 |        0.082
       0.071 |        0.033 |        0.105
       0.026 |        0.042 |        0.068
       0.072 |        1.169 |        1.241
       1.205 |        0.032 |        1.237
       0.290 |        0.028 |        0.318
       0.057 |        0.029 |        0.086
       0.053 |        0.028 |        0.082
       0.054 |        0.031 |        0.085
       0.054 |        0.040 |        0.093
       0.094 |        0.038 |        0.132
       0.054 |        0.045 |        0.099
       0.054 |        0.032 |        0.086
       0.054 |        0.039 |        0.093
       0.053 |        0.031 |        0.084
       0.053 |        0.119 |        0.173
       0.070 |        0.056 |        0.126
       0.054 |        0.040 |        0.094
       0.071 |        0.037 |        0.107
       0.071 |        0.032 |        0.103
