  QueueTimes | ServiceTimes | SojournTimes

       0.055 |        0.044 |        0.100
       0.083 |        0.057 |        0.140
       0.021 |        0.044 |        0.065
       0.111 |        0.044 |        0.154
       0.120 |        0.045 |        0.164
       0.055 |        0.040 |        0.094
       0.054 |        0.036 |        0.090
       0.056 |        0.062 |        0.117
       0.054 |        0.041 |        0.095
       0.055 |        0.044 |        0.099
       0.055 |        0.050 |        0.106
       0.057 |        0.055 |        0.112
       0.060 |        0.051 |        0.111
       0.055 |        0.034 |        0.089
       0.055 |        0.047 |        0.102
       0.056 |        0.046 |        0.102
       0.055 |        0.038 |        0.094
       0.055 |        0.047 |        0.103
       0.056 |        0.032 |        0.088
       0.056 |        0.047 |        0.103
       0.054 |        0.048 |        0.102
       0.054 |        0.045 |        0.099
       0.056 |        0.033 |        0.089
       0.220 |        0.070 |        0.290
       0.071 |        0.047 |        0.118
       0.071 |        0.053 |        0.125
       0.071 |        0.058 |        0.129
       0.219 |        0.073 |        0.292
       0.068 |        0.056 |        0.124
       0.056 |        0.045 |        0.102
       0.084 |        0.055 |        0.139
       0.056 |        0.222 |        0.278
       0.054 |        0.049 |        0.103
       0.055 |        0.037 |        0.092
       0.064 |        0.050 |        0.114
       0.056 |        0.057 |        0.113
       0.056 |        0.038 |        0.093
       0.072 |        0.049 |        0.121
       0.072 |        0.045 |        0.117
       0.057 |        0.048 |        0.105
       0.071 |        0.045 |        0.116
       0.069 |        0.046 |        0.114
       0.056 |        0.044 |        0.100
       0.056 |        0.044 |        0.100
       0.056 |        0.039 |        0.095
       0.072 |        0.047 |        0.119
       0.055 |        0.048 |        0.103
       0.220 |        0.069 |        0.289
       0.069 |        0.052 |        0.122
       0.056 |        0.041 |        0.098
       0.067 |        0.035 |        0.102
       0.068 |        0.065 |        0.133
       0.054 |        0.049 |        0.103
       0.054 |        0.051 |        0.106
       0.055 |        0.044 |        0.099
       0.055 |        0.045 |        0.100
       0.090 |        0.050 |        0.140
       0.066 |        0.034 |        0.100
       0.056 |        0.038 |        0.094
       0.056 |        0.056 |        0.112
       0.071 |        0.047 |        0.118
       0.071 |        0.046 |        0.117
       0.055 |        0.036 |        0.092
       0.056 |        0.043 |        0.100
       0.056 |        0.044 |        0.100
       0.057 |        0.038 |        0.094
       0.055 |        0.043 |        0.098
       0.056 |        0.048 |        0.104
       0.055 |        0.036 |        0.090
       0.055 |        0.037 |        0.091
       0.055 |        0.046 |        0.101
       0.056 |        0.041 |        0.097
       0.066 |        0.043 |        0.109
       0.079 |        0.035 |        0.114
       0.056 |        0.035 |        0.090
       0.057 |        0.043 |        0.099
       0.071 |        0.046 |        0.117
       0.072 |        0.056 |        0.127
       0.071 |        0.047 |        0.118
       0.055 |        0.045 |        0.100
       0.104 |        0.049 |        0.153
       0.125 |        0.044 |        0.168
       0.271 |        0.072 |        0.343
       0.054 |        0.038 |        0.093
       0.077 |        0.048 |        0.125
       0.056 |        0.057 |        0.113
       0.056 |        0.207 |        0.263
       0.071 |        0.056 |        0.127
       0.071 |        0.218 |        0.289
       0.075 |        0.060 |        0.135
       0.072 |        0.062 |        0.134
       0.073 |        0.047 |        0.120
       0.056 |        0.049 |        0.105
       0.057 |        0.257 |        0.314
       0.056 |        0.041 |        0.097
       0.056 |        0.042 |        0.099
       0.056 |        0.041 |        0.097
       0.071 |        0.057 |        0.128
       0.266 |        0.076 |        0.342
       0.055 |        0.036 |        0.091
       0.056 |        0.044 |        0.099
       0.057 |        0.052 |        0.108
       0.058 |        0.048 |        0.106
       0.055 |        0.047 |        0.102
       0.055 |        0.047 |        0.103
       0.058 |        0.066 |        0.124
