  QueueTimes | ServiceTimes | SojournTimes

       1.052 |        0.588 |        1.640
       0.071 |        0.335 |        0.406
       0.055 |        0.556 |        0.611
       0.071 |        0.919 |        0.990
       0.071 |        0.486 |        0.558
       0.250 |        0.346 |        0.595
       0.071 |        0.259 |        0.330
       0.071 |        0.449 |        0.521
       0.055 |        0.944 |        1.000
       0.672 |        1.051 |        1.723
       1.729 |        0.637 |        2.366
       0.071 |        0.597 |        0.668
       0.056 |        0.492 |        0.548
       0.071 |        0.610 |        0.681
       0.071 |        0.683 |        0.754
       0.055 |        0.609 |        0.665
       0.055 |        0.424 |        0.479
       0.071 |        0.853 |        0.924
       0.055 |        0.704 |        0.759
       0.091 |        0.410 |        0.501
       0.458 |        0.396 |        0.854
       0.071 |        1.436 |        1.507
       0.481 |        1.273 |        1.754
       1.424 |        1.240 |        2.664
       2.618 |        0.374 |        2.992
       2.639 |        0.949 |        3.588
       0.071 |        0.295 |        0.366
       0.071 |        0.338 |        0.409
       0.055 |        0.402 |        0.456
       0.071 |        0.277 |        0.348
       0.055 |        0.942 |        0.998
       0.900 |        0.782 |        1.683
       0.055 |        0.378 |        0.433
       0.144 |        0.796 |        0.940
       0.072 |        0.459 |        0.531
       0.055 |        0.841 |        0.896
       0.656 |        0.342 |        0.998
       0.071 |        1.691 |        1.763
       0.234 |        0.850 |        1.084
       0.071 |        1.065 |        1.137
       0.055 |        2.147 |        2.202
       0.055 |        0.386 |        0.442
       0.072 |        1.098 |        1.170
       0.071 |        0.395 |        0.466
       0.055 |        0.375 |        0.430
       0.047 |        0.621 |        0.667
       0.120 |        0.457 |        0.577
       0.071 |        0.933 |        1.004
       0.055 |        0.130 |        0.185
       0.054 |        0.555 |        0.610
       0.100 |        0.688 |        0.788
       0.055 |        2.103 |        2.158
       1.355 |        0.349 |        1.704
       0.055 |        0.343 |        0.398
       0.071 |        0.584 |        0.655
       0.071 |        1.920 |        1.991
       1.912 |        1.313 |        3.225
       2.951 |        1.255 |        4.207
       0.354 |        1.927 |        2.282
       2.261 |        1.657 |        3.918
       3.297 |        0.397 |        3.694
       3.509 |        0.541 |        4.050
       1.026 |        0.293 |        1.319
       0.072 |        0.428 |        0.500
       0.492 |        1.074 |        1.566
       0.055 |        0.647 |        0.702
       0.132 |        0.538 |        0.671
       0.076 |        0.486 |        0.562
       0.059 |        1.836 |        1.895
       0.055 |        0.342 |        0.397
       0.143 |        0.370 |        0.513
       0.055 |        0.709 |        0.764
       0.568 |        0.364 |        0.932
       0.071 |        1.183 |        1.254
       0.055 |        0.381 |        0.436
       0.072 |        0.566 |        0.638
       0.055 |        0.408 |        0.462
       0.071 |        0.403 |        0.473
       0.071 |        0.429 |        0.500
       0.396 |        1.391 |        1.787
       0.019 |        0.720 |        0.739
       0.113 |        0.704 |        0.817
       0.264 |        0.333 |        0.597
       0.275 |        1.129 |        1.403
       0.056 |        0.565 |        0.621
       0.510 |        0.820 |        1.330
       0.944 |        0.679 |        1.623
       1.104 |        1.986 |        3.090
       2.686 |        2.203 |        4.889
       4.070 |        0.371 |        4.441
       3.703 |        0.352 |        4.054
       0.071 |        0.348 |        0.419
       0.071 |        0.329 |        0.400
       0.072 |        0.791 |        0.863
       0.071 |        0.361 |        0.432
       0.071 |        1.303 |        1.374
       1.002 |        0.362 |        1.364
       0.793 |        0.641 |        1.435
       1.410 |        0.532 |        1.942
       0.644 |        0.287 |        0.931
       0.071 |        0.722 |        0.794
       0.072 |        1.594 |        1.666
       0.071 |        0.826 |        0.898
       0.504 |        0.337 |        0.841
       0.354 |        0.498 |        0.852
       0.071 |        0.428 |        0.499
       0.071 |        0.905 |        0.976
       0.604 |        0.548 |        1.152
       0.071 |        0.361 |        0.432
       0.055 |        0.612 |        0.666
       0.054 |        0.370 |        0.424
       0.072 |        0.382 |        0.453
       0.392 |        0.453 |        0.845
       0.309 |        0.530 |        0.839
       0.056 |        0.961 |        1.017
       0.176 |        0.543 |        0.719
       0.060 |        0.608 |        0.667
       0.072 |        1.255 |        1.327
       0.071 |        0.639 |        0.710
       0.071 |        1.027 |        1.099
       0.071 |        0.528 |        0.598
       0.054 |        0.357 |        0.412
       0.054 |        0.718 |        0.772
       0.675 |        1.368 |        2.043
       1.633 |        0.494 |        2.126
       0.700 |        1.995 |        2.694
       1.151 |        0.418 |        1.570
       0.055 |        2.185 |        2.240
       0.071 |        0.324 |        0.395
       0.072 |        0.557 |        0.629
       0.244 |        1.284 |        1.527
       1.179 |        1.937 |        3.115
       0.071 |        0.436 |        0.507
       0.055 |        1.762 |        1.817
       1.407 |        0.339 |        1.746
       0.071 |        0.436 |        0.507
       0.071 |        1.403 |        1.474
       0.055 |        1.097 |        1.152
       1.000 |        0.744 |        1.744
       1.538 |        1.534 |        3.072
       0.371 |        0.541 |        0.912
       0.071 |        0.416 |        0.487
       0.071 |        1.106 |        1.177
       0.818 |        1.082 |        1.900
       1.301 |        0.510 |        1.811
       0.623 |        1.054 |        1.677
       0.071 |        0.462 |        0.534
       0.183 |        1.438 |        1.622
       0.196 |        0.426 |        0.622
       0.071 |        1.497 |        1.569
       0.071 |        1.377 |        1.448
       0.627 |        0.889 |        1.516
       0.071 |        2.226 |        2.298
       2.116 |        0.301 |        2.417
       2.221 |        0.363 |        2.584
       0.055 |        0.773 |        0.827
       0.054 |        0.288 |        0.342
       0.065 |        1.389 |        1.454
       1.274 |        0.442 |        1.716
       1.482 |        0.330 |        1.812
       0.055 |        1.751 |        1.806
       0.098 |        0.452 |        0.551
       0.071 |        1.021 |        1.092
       0.071 |        0.716 |        0.787
       0.681 |        0.318 |        0.999
       0.080 |        0.444 |        0.524
       0.004 |        0.773 |        0.776
       0.072 |        0.948 |        1.020
       0.759 |        0.659 |        1.418
       0.055 |        0.744 |        0.799
       0.071 |        1.096 |        1.167
       0.329 |        0.312 |        0.641
       0.071 |        0.754 |        0.825
       0.475 |        0.448 |        0.924
       0.055 |        0.395 |        0.450
       0.272 |        1.215 |        1.487
       1.249 |        0.479 |        1.728
       1.495 |        1.137 |        2.632
       2.369 |        0.921 |        3.290
       2.220 |        0.584 |        2.804
       2.232 |        0.670 |        2.902
       1.239 |        0.435 |        1.674
       1.284 |        0.347 |        1.631
       1.320 |        0.555 |        1.874
       0.063 |        0.736 |        0.799
       0.619 |        0.391 |        1.010
       0.194 |        0.270 |        0.463
       0.071 |        0.583 |        0.654
       0.071 |        1.188 |        1.259
